"unitid","name","year","institution_size_category","level_of_institution","institutional_category","total_enrollment","full_time_enrollment","part_time_enrollment","full_time_equivalent_fall_enrollment","undergraduate_enrollment","first_time_degree_certificate_seeking_undergraduate_enrollment","transfer_in_degree_certificate_seeking_undergraduate_enrollment","continuing_degree_certificate_seeking_undergraduate_enrollment","nondegree_certificate_seeking_undergraduate_enrollment","full_time_undergraduate_enrollment","full_time_first_time_degree_certificate_seeking_undergraduate_enrollment","full_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","full_time_continuing_degree_certificate_seeking_undergraduate_enrollment","full_time_nondegree_certificate_seeking_undergraduate_enrollment","part_time_undergraduate_enrollment","part_time_first_time_degree_certificate_seeking_undergraduate_enrollment","part_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","part_time_continuing_degree_certificate_seeking_undergraduate_enrollment","part_time_nondegree_certificate_seeking_undergraduate_enrollment","percent_of_total_enrollment_that_are_american_indian_or_alaska_native","percent_of_total_enrollment_that_are_asian","percent_of_total_enrollment_that_are_black_or_african_american","percent_of_total_enrollment_that_are_hispanic_latino","percent_of_total_enrollment_that_are_native_hawaiian_or_other_pacific_islander","percent_of_total_enrollment_that_are_white","percent_of_total_enrollment_that_are_two_or_more_races","percent_of_total_enrollment_that_are_race_ethnicity_unknown","percent_of_total_enrollment_that_are_nonresident_alien","percent_of_total_enrollment_that_are_asian_native_hawaiian_pacific_islander","percent_of_total_enrollment_that_are_women","full_time_first_time_degree_certificate_seeking_undergraduates_grs_cohort_as_percent_of_all_undergraduates","adult_age_25_64_enrollment_all_students","adult_age_25_64_enrollment_undergraduate","adult_age_25_64_enrollment_full_time_students","adult_age_25_64_enrollment_full_time_undergraduate","adult_age_25_64_enrollment_part_time_students","adult_age_25_64_enrollment_part_time_undergraduate","percent_of_students_enrolled_exclusively_in_distance_education_courses","percent_of_students_enrolled_in_some_but_not_all_distance_education_courses","percent_of_students_not_enrolled_in_any_distance_education_courses","number_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__out_of_state","number_of_first_time_undergraduates__foreign_countries","percent_of_first_time_undergraduates__foreign_countries","number_of_first_time_undergraduates__residence_unknown","percent_of_first_time_undergraduates__residence_unknown","student_to_faculty_ratio","degree_of_urbanization_urban_centric_locale_"
111887,"Cerritos College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",21774,7254,14520,12129,21774,2985,1529,13657,3603,7254,1438,498,4886,432,14520,1547,1031,8771,3171,0.03,0.09,0.05,0.68,0,0.07,0.02,0.05,0.01,0.09,0.55,0.07,7224,7224,1479,1479,5745,5745,0.12,0.44,0.45,2955,0.99,0,9,0,21,0.01,30,"Suburb: Large"
111896,"Cerro Coso Community College",2014,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",4731,929,3802,2205,4731,525,793,2996,417,929,186,86,630,27,3802,339,707,2366,390,0.02,0.03,0.04,0.39,0,0.46,0.05,0,0,0.03,0.6,0.04,2697,2697,300,300,2397,2397,0.28,0.21,0.51,508,0.97,0,1,0,16,0.03,26,"Rural: Fringe"
111920,"Chabot College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13047,3857,9190,6942,13047,2043,1299,8626,1079,3857,899,267,2640,51,9190,1144,1032,5986,1028,0,0.23,0.12,0.37,0.02,0.18,0.06,0.01,0,0.25,0.53,0.07,5026,5026,735,735,4291,4291,0.09,0.16,0.75,1931,0.95,0.01,53,0.03,46,0.02,27,"City: Midsize"
111939,"Chaffey College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",19557,5385,14172,10143,19557,3458,1294,12532,2273,5385,1190,278,3779,138,14172,2268,1016,8753,2135,0,0.06,0.09,0.61,0,0.18,0.03,0.03,0.01,0.06,0.58,0.06,5907,5907,1047,1047,4860,4860,0.03,0.07,0.91,3351,0.97,0,4,0,103,0.03,26,"Suburb: Large"
112172,"Citrus College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",12780,4921,7859,7560,12780,2183,988,8217,1392,4921,1194,373,3184,170,7859,989,615,5033,1222,0,0.08,0.04,0.61,0,0.19,0.03,0.01,0.04,0.08,0.53,0.09,3121,3121,736,736,2385,2385,0.05,0.14,0.81,2151,0.99,0,0,0,24,0.01,30,"Suburb: Large"
112190,"City College of San Francisco",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",23610,7385,16225,12832,23610,2984,1737,16962,1927,7385,1207,447,5634,97,16225,1777,1290,11328,1830,0,0.34,0.08,0.24,0.01,0.23,0.05,0.02,0.04,0.34,0.53,0.05,12818,12818,2714,2714,10104,10104,0.04,0.09,0.86,2720,0.91,0.01,212,0.07,10,0,20,"City: Large"
112385,"Coastline Community College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",11313,1660,9653,4901,11313,1332,2149,6022,1810,1660,221,244,1013,182,9653,1111,1905,5009,1628,0.01,0.22,0.12,0.27,0,0.31,0.04,0.02,0.01,0.23,0.41,0.02,7827,7827,1074,1074,6753,6753,0.74,0.1,0.15,1290,0.97,0.01,31,0.02,0,0,42,"City: Small"
112561,"Columbia College",2014,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",2397,755,1642,1306,2397,458,216,1517,206,755,204,59,486,6,1642,254,157,1031,200,0.02,0.02,0.01,0.15,0,0.76,0.03,0.01,0,0.02,0.56,0.09,853,853,169,169,684,684,0.09,0.19,0.72,448,0.98,0,0,0,10,0.02,17,"Rural: Fringe"
112686,"Compton College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",7611,1961,5650,3858,7611,1048,1172,4514,877,1961,501,235,1195,30,5650,547,937,3319,847,0,0.05,0.35,0.53,0.01,0.03,0.03,0,0,0.05,0.63,0.07,3082,3082,538,538,2544,2544,0.1,0.1,0.8,984,0.94,0,35,0.03,29,0.03,26,"Suburb: Large"
112826,"Contra Costa College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",6697,1989,4708,3570,6697,670,608,4055,1364,1989,276,147,1454,112,4708,394,461,2601,1252,0,0.18,0.22,0.39,0.01,0.1,0.05,0.02,0.03,0.19,0.58,0.04,2501,2501,485,485,2016,2016,0.04,0.1,0.86,570,0.85,0,43,0.06,57,0.09,22,"Suburb: Large"
