"unitid","name","year","institution_size_category","level_of_institution","institutional_category","total_enrollment","full_time_enrollment","part_time_enrollment","full_time_equivalent_fall_enrollment","undergraduate_enrollment","first_time_degree_certificate_seeking_undergraduate_enrollment","transfer_in_degree_certificate_seeking_undergraduate_enrollment","continuing_degree_certificate_seeking_undergraduate_enrollment","nondegree_certificate_seeking_undergraduate_enrollment","full_time_undergraduate_enrollment","full_time_first_time_degree_certificate_seeking_undergraduate_enrollment","full_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","full_time_continuing_degree_certificate_seeking_undergraduate_enrollment","full_time_nondegree_certificate_seeking_undergraduate_enrollment","part_time_undergraduate_enrollment","part_time_first_time_degree_certificate_seeking_undergraduate_enrollment","part_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","part_time_continuing_degree_certificate_seeking_undergraduate_enrollment","part_time_nondegree_certificate_seeking_undergraduate_enrollment","percent_of_total_enrollment_that_are_american_indian_or_alaska_native","percent_of_total_enrollment_that_are_asian","percent_of_total_enrollment_that_are_black_or_african_american","percent_of_total_enrollment_that_are_hispanic_latino","percent_of_total_enrollment_that_are_native_hawaiian_or_other_pacific_islander","percent_of_total_enrollment_that_are_white","percent_of_total_enrollment_that_are_two_or_more_races","percent_of_total_enrollment_that_are_race_ethnicity_unknown","percent_of_total_enrollment_that_are_nonresident_alien","percent_of_total_enrollment_that_are_asian_native_hawaiian_pacific_islander","percent_of_total_enrollment_that_are_women","full_time_first_time_degree_certificate_seeking_undergraduates_grs_cohort_as_percent_of_all_undergraduates","adult_age_25_64_enrollment_all_students","adult_age_25_64_enrollment_undergraduate","adult_age_25_64_enrollment_full_time_students","adult_age_25_64_enrollment_full_time_undergraduate","adult_age_25_64_enrollment_part_time_students","adult_age_25_64_enrollment_part_time_undergraduate","percent_of_students_enrolled_exclusively_in_distance_education_courses","percent_of_students_enrolled_in_some_but_not_all_distance_education_courses","percent_of_students_not_enrolled_in_any_distance_education_courses","number_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__out_of_state","number_of_first_time_undergraduates__foreign_countries","percent_of_first_time_undergraduates__foreign_countries","number_of_first_time_undergraduates__residence_unknown","percent_of_first_time_undergraduates__residence_unknown","student_to_faculty_ratio","degree_of_urbanization_urban_centric_locale_"
115001,"Glendale Community College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15588,7064,8524,9926,15588,2771,1213,9944,1660,7064,1593,436,4658,377,8524,1178,777,5286,1283,0,0.1,0.03,0.32,0,0.46,0.03,0.02,0.05,0.1,0.53,0.1,5913,5913,1922,1922,3991,3991,0.03,0.16,0.8,2444,0.88,0,227,0.08,100,0.04,26,"City: Midsize"
115126,"Golden West College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",12093,4099,7994,6783,12093,2098,1554,7450,991,4099,1152,339,2534,74,7994,946,1215,4916,917,0,0.27,0.02,0.32,0.01,0.31,0.05,0.01,0.02,0.27,0.53,0.1,3458,3458,571,571,2887,2887,0.13,0.23,0.64,1980,0.94,0.01,99,0.05,2,0,28,"Suburb: Large"
115296,"Grossmont College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18159,6451,11708,10382,18159,2966,1634,11685,1874,6451,1595,443,4019,394,11708,1371,1191,7666,1480,0,0.08,0.06,0.33,0,0.41,0.07,0.01,0.03,0.08,0.56,0.09,5793,5793,1321,1321,4472,4472,0.09,0.16,0.75,,,,,,,,28,"Suburb: Large"
115393,"Hartnell College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",11176,3624,7552,6159,11176,2321,1265,6798,792,3624,904,139,2516,65,7552,1417,1126,4282,727,0,0.05,0.02,0.66,0,0.2,0.02,0.05,0,0.05,0.45,0.08,5050,5050,538,538,4512,4512,0.03,0.1,0.86,2277,0.98,0,11,0,33,0.01,32,"City: Midsize"
115861,"Imperial Valley College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",7811,3795,4016,5143,7811,1461,165,5190,995,3795,1063,65,2276,391,4016,398,100,2914,604,0,0,0.01,0.91,0,0.03,0,0.04,0,0,0.57,0.14,2322,2322,701,701,1621,1621,0.02,0.1,0.88,,,,,,,,30,"Rural: Fringe"
116439,"Irvine Valley College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13183,4623,8560,7497,13183,2497,1387,7615,1684,4623,1505,278,2725,115,8560,992,1109,4890,1569,0,0.25,0.02,0.25,0,0.35,0.05,0.01,0.06,0.26,0.5,0.11,3780,3780,488,488,3292,3292,0.1,0.22,0.68,2024,0.81,0,340,0.14,133,0.05,28,"City: Midsize"
117052,"Reedley College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9836,3312,6524,5502,9836,1602,658,5598,1978,3312,1045,165,1822,280,6524,557,493,3776,1698,0,0.05,0.02,0.71,0,0.19,0.02,0.01,0,0.05,0.59,0.11,2539,2539,439,439,2100,2100,0.14,0.09,0.76,1556,0.97,0,6,0,40,0.02,24,"Town: Distant"
117195,"Lake Tahoe Community College",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",2437,672,1765,1265,2437,369,333,1360,375,672,181,79,382,30,1765,188,254,978,345,0,0.04,0.03,0.28,0,0.57,0.04,0.02,0.02,0.04,0.49,0.07,1198,1198,252,252,946,946,0.23,0.16,0.61,278,0.75,0.09,41,0.11,17,0.05,16,"Rural: Fringe"
117247,"Laney College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",11667,2265,9402,5422,11667,1552,1552,7235,1328,2265,416,209,1583,57,9402,1136,1343,5652,1271,0,0.25,0.24,0.21,0.01,0.14,0.05,0.06,0.04,0.26,0.55,0.04,5586,5586,979,979,4607,4607,0.09,0.1,0.8,1238,0.8,0,200,0.13,114,0.07,25,"City: Large"
117274,"Lassen Community College",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",2241,624,1617,1167,2241,618,273,1049,301,624,192,73,351,8,1617,426,200,698,293,0.02,0.03,0.18,0.24,0.02,0.42,0.04,0.03,0.02,0.05,0.25,0.09,1309,1309,140,140,1169,1169,0.38,0.12,0.5,535,0.87,0,45,0.07,38,0.06,21,"Rural: Fringe"
117645,"Long Beach City College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",24478,9493,14985,14524,24478,4324,2087,16804,1263,9493,2500,705,6129,159,14985,1824,1382,10675,1104,0,0.11,0.12,0.57,0.01,0.14,0.04,0,0.01,0.11,0.55,0.1,7933,7933,1851,1851,6082,6082,0.04,0.15,0.81,4192,0.97,0,45,0.01,87,0.02,28,"City: Large"
117690,"Los Angeles Harbor College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",10115,2945,7170,5352,10115,1316,1064,6357,1378,2945,574,222,2112,37,7170,742,842,4245,1341,0,0.11,0.11,0.57,0.01,0.13,0.04,0.02,0.02,0.12,0.59,0.06,3349,3349,579,579,2770,2770,0.12,0.13,0.75,1220,0.93,0,66,0.05,30,0.02,27,"City: Large"
117706,"Los Angeles Pierce College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",20767,5841,14926,10852,20767,2983,1787,13808,2189,5841,1254,388,4150,49,14926,1729,1399,9658,2140,0,0.11,0.05,0.47,0,0.29,0.03,0.03,0.01,0.11,0.54,0.06,6900,6900,1276,1276,5624,5624,0.03,0.06,0.91,2804,0.94,0,102,0.03,77,0.03,29,"City: Large"
117715,"Los Angeles Southwest College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",6826,1658,5168,3393,6826,732,1043,3945,1106,1658,259,241,1117,41,5168,473,802,2828,1065,0,0.02,0.56,0.35,0,0.01,0.03,0.02,0,0.02,0.69,0.04,3395,3395,647,647,2748,2748,0.1,0.11,0.79,698,0.95,0,18,0.02,16,0.02,22,"Suburb: Large"
117724,"Los Angeles Trade Technical College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",14650,3736,10914,7400,14650,1999,1765,8820,2066,3736,543,393,2761,39,10914,1456,1372,6059,2027,0,0.04,0.2,0.64,0,0.05,0.02,0.03,0.01,0.04,0.47,0.04,7444,7444,1723,1723,5721,5721,0.03,0.05,0.92,1876,0.94,0,82,0.04,41,0.02,26,"City: Large"
117733,"Los Angeles Valley College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18838,4273,14565,9163,18838,2244,1964,12258,2372,4273,678,355,3181,59,14565,1566,1609,9077,2313,0,0.08,0.05,0.5,0,0.29,0.02,0.04,0.01,0.08,0.57,0.04,7442,7442,1069,1069,6373,6373,0.08,0.1,0.81,2074,0.92,0,119,0.05,51,0.02,27,"City: Large"
117788,"Los Angeles City College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18825,4697,14128,9440,18825,1951,2300,11383,3191,4697,668,358,3466,205,14128,1283,1942,7917,2986,0,0.13,0.09,0.53,0,0.17,0.02,0.02,0.02,0.13,0.57,0.04,8823,8823,2101,2101,6722,6722,0.1,0.09,0.81,1658,0.85,0,208,0.11,85,0.04,28,"City: Large"
117867,"Los Angeles Mission College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",10188,2555,7633,5118,10188,1396,992,6142,1658,2555,597,170,1600,188,7633,799,822,4542,1470,0,0.05,0.03,0.77,0,0.12,0.01,0.02,0.01,0.05,0.61,0.06,3463,3463,710,710,2753,2753,0.07,0.08,0.85,1338,0.96,0,42,0.03,16,0.01,29,"City: Large"
117894,"Los Medanos College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8861,3057,5804,5006,8861,1407,749,5727,978,3057,753,200,2005,99,5804,654,549,3722,879,0,0.09,0.16,0.39,0.01,0.27,0.08,0.01,0,0.1,0.54,0.08,2777,2777,590,590,2187,2187,0.04,0.1,0.87,1363,0.97,0,10,0.01,34,0.02,24,"Suburb: Large"
118347,"College of Marin",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",5490,1273,4217,2689,5490,694,406,3589,801,1273,276,100,872,25,4217,418,306,2717,776,0,0.08,0.05,0.27,0,0.51,0.05,0.02,0.01,0.08,0.57,0.05,2490,2490,301,301,2189,2189,0.01,0.05,0.94,684,0.99,0.01,0,0,4,0.01,17,"Suburb: Large"
118684,"Mendocino College",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",4290,1282,3008,2292,4290,453,314,2514,1009,1282,229,85,932,36,3008,224,229,1582,973,0.06,0.03,0.03,0.28,0,0.6,0,0,0,0.03,0.62,0.05,1688,1688,391,391,1297,1297,0.14,0.19,0.68,409,0.9,0,3,0.01,41,0.09,17,"Rural: Fringe"
118718,"Merced College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",10389,4834,5555,6699,10389,1610,492,7012,1275,4834,1105,201,3240,288,5555,505,291,3772,987,0,0.1,0.03,0.6,0,0.22,0.03,0.01,0.01,0.1,0.58,0.11,3039,3039,893,893,2146,2146,0.03,0.15,0.82,1543,0.96,0,38,0.02,29,0.02,26,"City: Small"
118772,"Merritt College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",6647,1038,5609,2921,6647,815,1283,3720,829,1038,208,184,623,23,5609,607,1099,3097,806,0,0.15,0.29,0.27,0.01,0.17,0.05,0.06,0.01,0.15,0.66,0.03,3400,3400,496,496,2904,2904,0.13,0.1,0.77,718,0.88,0,57,0.07,40,0.05,25,"City: Large"
118912,"MiraCosta College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15062,5256,9806,8548,15062,2693,1521,9983,865,5256,1321,452,3449,34,9806,1372,1069,6534,831,0,0.06,0.03,0.36,0,0.44,0.07,0.02,0.02,0.07,0.57,0.09,5410,5410,1205,1205,4205,4205,0.16,0.25,0.59,2497,0.93,0,100,0.04,96,0.04,25,"Suburb: Large"
118930,"Mission College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8576,2085,6491,4264,8576,953,1106,4841,1676,2085,407,167,1327,184,6491,546,939,3514,1492,0,0.44,0.04,0.27,0,0.17,0.04,0.01,0.02,0.44,0.55,0.05,4151,4151,642,642,3509,3509,0.14,0.18,0.68,849,0.89,0,0,0,104,0.11,22,"City: Midsize"
118976,"Modesto Junior College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",17739,5897,11842,9873,17739,2986,1102,12192,1459,5897,1424,360,3988,125,11842,1562,742,8204,1334,0.01,0.06,0.04,0.48,0.01,0.38,0.01,0.02,0,0.07,0.57,0.08,5866,5866,1176,1176,4690,4690,0.11,0.26,0.63,2952,0.99,0,7,0,27,0.01,31,"City: Midsize"
119067,"Monterey Peninsula College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8277,2508,5769,4445,8277,1332,1129,5185,631,2508,570,232,1672,34,5769,762,897,3513,597,0,0.08,0.04,0.37,0.01,0.4,0.05,0.05,0,0.09,0.54,0.07,3610,3610,526,526,3084,3084,0.06,0.17,0.77,1259,0.95,0,25,0.02,48,0.04,25,"Suburb: Midsize"
119137,"Moorpark College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",14027,5597,8430,8427,14027,2759,1150,9418,700,5597,1688,338,3552,19,8430,1071,812,5866,681,0,0.08,0.02,0.32,0,0.51,0.05,0.01,0.01,0.08,0.52,0.12,3119,3119,493,493,2626,2626,0.07,0.13,0.8,2688,0.97,0.01,0,0,38,0.01,33,"Suburb: Midsize"
119164,"Mt San Antonio College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",28991,10335,18656,16599,28991,4690,1837,19914,2550,10335,2577,616,6960,182,18656,2113,1221,12954,2368,0,0.17,0.04,0.62,0,0.11,0.03,0.01,0.02,0.18,0.52,0.09,8524,8524,1917,1917,6607,6607,0.02,0.06,0.92,,,,,,,,26,"Suburb: Large"
119216,"Mt San Jacinto Community College District",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",15010,5398,9612,8625,15010,2801,1263,9884,1062,5398,1291,429,3588,90,9612,1510,834,6296,972,0,0.06,0.08,0.47,0,0.32,0.06,0.01,0,0.06,0.58,0.09,5276,5276,1262,1262,4014,4014,0.11,0.22,0.68,2690,0.96,0,102,0.04,9,0,28,"Suburb: Midsize"
119331,"Napa Valley College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",6257,2233,4024,3584,6257,1095,476,4129,557,2233,547,157,1510,19,4024,548,319,2619,538,0,0.14,0.06,0.4,0,0.31,0.06,0.02,0,0.15,0.56,0.09,1894,1894,360,360,1534,1534,0.07,0.15,0.79,1071,0.98,0,4,0,20,0.02,21,"City: Small"
120290,"Ohlone College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",10193,3378,6815,5666,10193,1716,871,5989,1617,3378,764,147,2332,135,6815,952,724,3657,1482,0,0.37,0.04,0.24,0.01,0.2,0.05,0.05,0.04,0.38,0.52,0.07,3646,3646,455,455,3191,3191,0.08,0.22,0.69,1543,0.9,0,113,0.07,60,0.03,24,"Suburb: Large"
120342,"Orange Coast College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",22140,8726,13414,13230,22140,4257,2163,14389,1331,8726,2587,596,5440,103,13414,1670,1567,8949,1228,0,0.2,0.02,0.34,0,0.33,0.04,0.01,0.05,0.21,0.48,0.12,6320,6320,1328,1328,4992,4992,0.03,0.13,0.84,3774,0.89,0.02,399,0.09,6,0,32,"City: Midsize"
120421,"Oxnard College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",7006,1958,5048,3653,7006,1088,878,4573,467,1958,560,154,1225,19,5048,528,724,3348,448,0,0.06,0.03,0.73,0,0.15,0.03,0,0,0.06,0.54,0.08,2416,2416,386,386,2030,2030,0.14,0.24,0.62,1085,1,0,0,0,0,0,31,"City: Midsize"
120953,"Palo Verde College",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",4023,444,3579,1646,4023,627,419,2440,537,444,75,30,315,24,3579,552,389,2125,513,0.01,0.05,0.13,0.34,0,0.41,0.02,0.02,0,0.06,0.21,0.02,3288,3288,213,213,3075,3075,0.45,0.07,0.48,615,0.98,0,3,0,6,0.01,42,"Rural: Distant"
120971,"Palomar College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",23482,7694,15788,12995,23482,3951,1806,15397,2328,7694,2017,533,5011,133,15788,1934,1273,10386,2195,0.01,0.06,0.03,0.41,0,0.4,0.05,0.03,0.01,0.07,0.46,0.09,7817,7817,1398,1398,6419,6419,0.07,0.24,0.69,3740,0.95,0,121,0.03,90,0.02,26,"Suburb: Large"
121044,"Pasadena City College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",27050,11068,15982,16434,27050,5189,2307,17738,1816,11068,3261,739,6931,137,15982,1928,1568,10807,1679,0,0.24,0.04,0.5,0,0.07,0.11,0.01,0.04,0.24,0.52,0.12,7579,7579,1521,1521,6058,6058,0.04,0.14,0.82,4833,0.93,0.01,306,0.06,11,0,30,"City: Midsize"
121363,"Porterville College",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",4074,1708,2366,2502,4074,799,230,2498,547,1708,521,62,1056,69,2366,278,168,1442,478,0.01,0.03,0.01,0.76,0,0.16,0.02,0,0,0.03,0.6,0.13,1241,1241,315,315,926,926,0.07,0.13,0.8,780,0.98,0,2,0,17,0.02,30,"City: Small"
121619,"Santa Ana College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",29808,5120,24688,13409,29808,4380,2216,20979,2233,5120,1437,335,3242,106,24688,2943,1881,17737,2127,0,0.08,0.01,0.52,0,0.21,0.01,0.15,0.01,0.08,0.38,0.05,16747,16747,950,950,15797,15797,0.04,0.07,0.89,4232,0.97,0,132,0.03,10,0,38,"City: Large"
121707,"College of the Redwoods",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",4514,685,3829,1971,4514,708,1103,2207,496,685,189,147,347,2,3829,519,956,1860,494,0.05,0.03,0.03,0.15,0,0.54,0.07,0.14,0,0.03,0.54,0.04,1818,1818,154,154,1664,1664,0.08,0.18,0.74,,,,,,,,20,"Rural: Fringe"
121886,"Rio Hondo College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18367,3989,14378,8816,18367,2434,1379,12128,2426,3989,769,276,2815,129,14378,1665,1103,9313,2297,0,0.07,0.02,0.78,0,0.07,0.01,0.04,0,0.07,0.44,0.04,6842,6842,596,596,6246,6246,0.08,0.12,0.8,2413,0.99,0,15,0.01,0,0,31,"Suburb: Large"
121901,"Riverside City College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",19086,5248,13838,9894,19086,3465,1697,11848,2076,5248,1590,382,3139,137,13838,1875,1315,8709,1939,0,0.05,0.08,0.6,0,0.2,0.03,0,0.02,0.06,0.56,0.08,5349,5349,773,773,4576,4576,0.08,0.1,0.83,3313,0.96,0,86,0.02,63,0.02,28,"City: Large"
122180,"Sacramento City College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",22690,5750,16940,11437,22690,4200,2785,13796,1909,5750,1224,563,3832,131,16940,2976,2222,9964,1778,0.01,0.2,0.11,0.3,0.01,0.27,0.06,0.02,0.02,0.21,0.57,0.05,8170,8170,1434,1434,6736,6736,0.08,0.13,0.79,3822,0.91,0,228,0.05,150,0.04,27,"City: Large"
122205,"Saddleback College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",19552,6003,13549,10552,19552,2973,1704,13202,1673,6003,1454,366,4081,102,13549,1519,1338,9121,1571,0,0.09,0.02,0.26,0,0.53,0.05,0.01,0.02,0.1,0.53,0.07,6517,6517,956,956,5561,5561,0.2,0.23,0.56,2579,0.87,0,244,0.08,150,0.05,25,"Suburb: Large"
122339,"San Diego City College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",16520,3687,12833,7996,16520,2240,2715,9174,2391,3687,962,441,2153,131,12833,1278,2274,7021,2260,0,0.09,0.11,0.5,0.01,0.23,0.05,0.02,0.01,0.09,0.52,0.06,7083,7083,975,975,6108,6108,0.14,0.13,0.73,2095,0.94,0,17,0.01,128,0.06,27,"City: Large"
122375,"San Diego Mesa College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",24208,5940,18268,12073,24208,3471,3615,13721,3401,5940,1474,758,3574,134,18268,1997,2857,10147,3267,0,0.15,0.06,0.34,0.01,0.32,0.06,0.02,0.03,0.16,0.52,0.06,8416,8416,1202,1202,7214,7214,0.13,0.12,0.74,3003,0.87,0,146,0.04,322,0.09,29,"City: Large"
122384,"San Diego Miramar College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13008,2304,10704,5898,13008,1803,2329,7425,1451,2304,638,295,1276,95,10704,1165,2034,6149,1356,0,0.21,0.05,0.26,0.01,0.38,0.06,0.02,0,0.22,0.44,0.05,5928,5928,547,547,5381,5381,0.18,0.1,0.72,1691,0.94,0,6,0,106,0.06,30,"City: Large"
122658,"San Joaquin Delta College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",17895,6841,11054,10552,17895,2771,755,11682,2687,6841,1585,284,4639,333,11054,1186,471,7043,2354,0,0.17,0.09,0.45,0.01,0.22,0.05,0.01,0,0.17,0.57,0.09,5543,5543,1349,1349,4194,4194,0.17,0.25,0.58,2576,0.93,0,0,0,195,0.07,33,"City: Large"
122746,"San Jose City College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8445,2093,6352,4226,8445,917,1236,5118,1174,2093,427,253,1288,125,6352,490,983,3830,1049,0,0.23,0.07,0.44,0.01,0.16,0.04,0.05,0,0.24,0.56,0.05,4207,4207,649,649,3558,3558,0.07,0.11,0.81,843,0.92,0.02,32,0.03,27,0.03,22,"City: Large"
122791,"College of San Mateo",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8889,2456,6433,4616,8889,1540,905,5234,1210,2456,802,168,1443,43,6433,738,737,3791,1167,0,0.24,0.03,0.3,0.02,0.29,0.06,0.01,0.05,0.26,0.49,0.09,2723,2723,266,266,2457,2457,0.01,0.02,0.98,1346,0.87,0.01,183,0.12,0,0,25,"Suburb: Large"
122889,"Santa Barbara City College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",17920,7607,10313,11069,17920,3146,1235,10711,2828,7607,2117,416,4824,250,10313,1029,819,5887,2578,0,0.05,0.04,0.34,0,0.4,0.05,0.04,0.08,0.05,0.53,0.12,5156,5156,1035,1035,4121,4121,0.14,0.19,0.67,2093,0.67,0,573,0.18,480,0.15,47,"City: Small"
122977,"Santa Monica College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",30615,11441,19174,17878,30615,6189,2106,19841,2479,11441,3628,513,7086,214,19174,2561,1593,12755,2265,0,0.1,0.09,0.39,0,0.26,0.04,0.01,0.11,0.1,0.53,0.12,8417,8417,1517,1517,6900,6900,0.09,0.15,0.76,4522,0.73,0,990,0.16,677,0.11,30,"City: Small"
123013,"Santa Rosa Junior College",2015,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",22411,6750,15661,12008,22411,2900,1170,15467,2874,6750,1411,291,4920,128,15661,1489,879,10547,2746,0.01,0.05,0.02,0.32,0,0.53,0.05,0.01,0.01,0.05,0.55,0.06,8773,8773,1432,1432,7341,7341,0.07,0.14,0.79,2705,0.93,0,111,0.04,84,0.03,21,"City: Midsize"
123217,"College of the Sequoias",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",11266,4971,6295,7084,11266,2286,700,7188,1092,4971,1539,275,3078,79,6295,747,425,4110,1013,0,0.04,0.03,0.63,0,0.25,0.03,0.01,0,0.04,0.56,0.14,3134,3134,844,844,2290,2290,0.04,0.16,0.8,2256,0.99,0.01,15,0.01,1,0,30,"City: Midsize"
123299,"Shasta College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",8620,3367,5253,5131,8620,1530,438,5464,1188,3367,579,228,2449,111,5253,951,210,3015,1077,0.03,0.03,0.02,0.15,0,0.68,0.05,0.03,0,0.04,0.58,0.07,3032,3032,1066,1066,1966,1966,0.17,0.27,0.55,1458,0.95,0,13,0.01,59,0.04,28,"Suburb: Midsize"
123341,"Sierra College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18218,6534,11684,10457,18218,3176,1428,12307,1307,6534,1632,458,4272,172,11684,1544,970,8035,1135,0.01,0.05,0.03,0.27,0,0.58,0.05,0.01,0.01,0.05,0.55,0.09,6005,6005,1328,1328,4677,4677,0.1,0.16,0.74,3088,0.97,0.01,50,0.02,6,0,25,"Suburb: Large"
123484,"College of the Siskiyous",2015,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",2203,755,1448,1241,2203,305,318,1264,316,755,179,107,455,14,1448,126,211,809,302,0.03,0.06,0.06,0.14,0.01,0.57,0.06,0.07,0,0.07,0.48,0.08,1108,1108,234,234,874,874,0.19,0.28,0.54,247,0.81,0.18,1,0,1,0,21,"Town: Remote"
123509,"Skyline College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9681,2416,7265,4855,9681,1081,1102,6374,1124,2416,501,175,1707,33,7265,580,927,4667,1091,0,0.38,0.03,0.3,0.01,0.19,0.05,0.01,0.02,0.39,0.53,0.05,3222,3222,383,383,2839,2839,0.03,0.06,0.91,1026,0.95,0,0,0,54,0.05,27,"Suburb: Large"
123527,"San Bernardino Valley College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13136,4441,8695,7360,13136,1825,1248,8430,1633,4441,941,375,2970,155,8695,884,873,5460,1478,0,0.05,0.12,0.66,0,0.14,0.03,0,0,0.05,0.58,0.07,5381,5381,1231,1231,4150,4150,0.1,0.22,0.68,,,,,,,,27,"City: Midsize"
123563,"Solano Community College",2015,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",9964,3257,6707,5509,9964,1355,760,6283,1566,3257,710,241,2198,108,6707,645,519,4085,1458,0,0.14,0.14,0.28,0.01,0.31,0.09,0.02,0,0.15,0.58,0.07,3685,3685,735,735,2950,2950,0.09,0.25,0.66,1341,0.99,0,12,0.01,0,0,23,"Suburb: Midsize"
123800,"Southwestern College",2015,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18716,7317,11399,11144,18716,2784,1175,12827,1930,7317,1656,432,4937,292,11399,1128,743,7890,1638,0,0.13,0.05,0.7,0.01,0.1,0,0.01,0.01,0.13,0.53,0.09,5917,5917,1379,1379,4538,4538,0.1,0.23,0.67,2710,0.97,0,0,0,74,0.03,29,"Suburb: Large"
