"unitid","institution name","year","HD2019.Institution size category","DRVEF2019_RV.Total  enrollment","DRVEF2019_RV.Full-time enrollment","DRVEF2019_RV.Part-time enrollment","DRVEF2019_RV.Full-time equivalent fall enrollment","DRVEF2019_RV.Undergraduate enrollment","DRVEF2019_RV.First-time degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Transfer-in degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Continuing degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Nondegree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Graduate enrollment","DRVEF2019_RV.Full-time undergraduate enrollment","DRVEF2019_RV.Full-time first-time degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Full-time transfer-in degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Full-time continuing degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Full-time nondegree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Full-time graduate enrollment","DRVEF2019_RV.Part-time undergraduate enrollment","DRVEF2019_RV.Part-time first-time degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Part-time transfer-in degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Part-time continuing degree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Part-time nondegree/certificate-seeking undergraduate enrollment","DRVEF2019_RV.Part-time graduate enrollment","DRVEF2019_RV.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2019_RV.Percent of total enrollment that are Asian","DRVEF2019_RV.Percent of total enrollment that are Black or African American","DRVEF2019_RV.Percent of total enrollment that are Hispanic/Latino","DRVEF2019_RV.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2019_RV.Percent of total enrollment that are White","DRVEF2019_RV.Percent of total enrollment that are two or more races","DRVEF2019_RV.Percent of total enrollment that are Race/ethnicity unknown","DRVEF2019_RV.Percent of total enrollment that are Nonresident Alien","DRVEF2019_RV.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2019_RV.Percent of total enrollment that are women","DRVEF2019_RV.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2019_RV.Percent of undergraduate enrollment that are Asian","DRVEF2019_RV.Percent of undergraduate enrollment that are Black or African American","DRVEF2019_RV.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2019_RV.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2019_RV.Percent of undergraduate enrollment that are White","DRVEF2019_RV.Percent of undergraduate enrollment that are two or more races","DRVEF2019_RV.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2019_RV.Percent of undergraduate enrollment that are Nonresident Alien","DRVEF2019_RV.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2019_RV.Percent of undergraduate enrollment that are women","DRVEF2019_RV.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2019_RV.Percent of graduate enrollment that are Asian","DRVEF2019_RV.Percent of graduate enrollment that are Black or African American","DRVEF2019_RV.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2019_RV.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2019_RV.Percent of graduate enrollment that are White","DRVEF2019_RV.Percent of graduate enrollment that are two or more races","DRVEF2019_RV.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2019_RV.Percent of graduate enrollment that are Nonresident Alien","DRVEF2019_RV.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2019_RV.Percent of graduate enrollment that are women","DRVEF2019_RV.Full-time, first-time, degree/certificate seeking undergraduates (GRS Cohort) as percent of all undergraduates","DRVEF2019_RV.Adult age (25-64) enrollment, all students","DRVEF2019_RV.Adult age (25-64) enrollment, undergraduate","DRVEF2019_RV.Adult age (25-64) enrollment, graduate","DRVEF2019_RV.Adult age (25-64) enrollment, full-time students","DRVEF2019_RV.Adult age (25-64) enrollment, full-time undergraduate","DRVEF2019_RV.Adult age (25-64) enrollment, full-time graduate","DRVEF2019_RV.Adult age (25-64) enrollment, part-time students","DRVEF2019_RV.Adult age (25-64) enrollment, part-time undergraduate","DRVEF2019_RV.Adult age (25-64) enrollment, part-time graduate","DRVEF2019_RV.Percent of undergraduate enrollment under 18","DRVEF2019_RV.Percent of undergraduate enrollment 18-24","DRVEF2019_RV.Percent of undergraduate enrollment, 25-64","DRVEF2019_RV.Percent of undergraduate enrollment over 65","DRVEF2019_RV.Percent of students enrolled exclusively in distance education courses","DRVEF2019_RV.Percent of students enrolled in some but not all distance education courses","DRVEF2019_RV.Percent of students not enrolled in any distance education courses","DRVEF2019_RV.Percent of undergraduate students enrolled exclusively in distance education courses","DRVEF2019_RV.Percent of undergraduate students enrolled in some but not all distance education courses","DRVEF2019_RV.Percent of undergraduate students not enrolled in any distance education courses","DRVEF2019_RV.Percent of graduate students enrolled exclusively in distance education courses","DRVEF2019_RV.Percent of graduate students enrolled in some but not all distance education courses","DRVEF2019_RV.Percent of graduate students not enrolled in any distance education courses","DRVEF2019_RV.Number of first-time undergraduates - in-state","DRVEF2019_RV.Percent of first-time undergraduates - in-state","DRVEF2019_RV.Number of first-time undergraduates - out-of-state","DRVEF2019_RV.Percent of first-time undergraduates - out-of-state","DRVEF2019_RV.Number of first-time undergraduates - foreign countries","DRVEF2019_RV.Percent of first-time undergraduates - foreign countries","DRVEF2019_RV.Number of first-time undergraduates - residence unknown","DRVEF2019_RV.Percent of first-time undergraduates - residence unknown","EF2019D_RV.Student-to-faculty ratio","XSTUFACR","HD2019.Institution size category","HD2019.FIPS state code","HD2019.Level of institution","HD2019.Control of institution","HD2019.Degree-granting status","HD2019.Degree of urbanization (Urban-centric locale)","HD2019.Postsecondary and Title IV institution indicator","HD2019.Institutional category"
"108667","College of Alameda","2019","5,000 - 9,999","5667","1062","4605","2608","5667","637","1043","2756","1231","0","1062","212","98","580","172","0","4605","425","945","2176","1059","0","0","28","17","28","0","13","5","4","4","28","57","0","28","17","28","0","13","5","4","4","28","57",,,,,,,,,,,,"4","2201","2201","0","326","326","0","1875","1875","0","10","50","39","1","39","17","45","39","17","45",,,,"524","82","0","0","77","12","36","6","32","R","5,000 - 9,999","California","At least 2 but less than 4 years","Public","Degree-granting","Suburb: Large","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"108807","Allan Hancock College","2019","10,000 - 19,999","11894","3594","8300","6381","11894","1552","564","6913","2865","0","3594","1022","155","2353","64","0","8300","530","409","4560","2801","0","0","4","2","64","0","21","3","6","0","4","55","0","4","2","64","0","21","3","6","0","4","55",,,,,,,,,,,,"9","3323","3323","0","504","504","0","2819","2819","0","19","53","28","0","11","19","70","11","19","70",,,,"1524","98","24","2","4","0","0","0","25","R","10,000 - 19,999","California","At least 2 but less than 4 years","Public","Degree-granting","City: Midsize","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"109208","American River College","2019","20,000 and above","31265","6116","25149","14559","31265","3469","4365","20832","2599","0","6116","1455","538","3818","305","0","25149","2014","3827","17014","2294","0","0","12","7","29","1","38","5","7","0","13","47","0","12","7","29","1","38","5","7","0","13","47",,,,,,,,,,,,"5","16389","16389","0","1783","1783","0","14606","14606","0","3","43","52","1","17","19","65","17","19","65",,,,"3354","97","0","0","25","1","90","3","27","R","20,000 and above","California","At least 2 but less than 4 years","Public","Degree-granting","Suburb: Large","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"109350","Antelope Valley Community College District","2019","10,000 - 19,999","13909","4130","9779","8076","13909","2570","713","9051","1575","0","4130","1335","228","2528","39","0","9779","1235","485","6523","1536","0","0","4","14","58","0","15","4","4","0","4","58","0","4","14","58","0","15","4","4","0","4","58",,,,,,,,,,,,"10","4577","4577","0","809","809","0","3768","3768","0","7","60","33","0","5","15","81","5","15","81",,,,"2546","99","13","1","11","0","0","0","23","R","10,000 - 19,999","California","Four or more years","Public","Degree-granting","Suburb: Large","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above"
"109819","Bakersfield College","2019","20,000 and above","26380","7678","18702","15225","26380","3783","1324","14838","6435","0","7678","2233","361","4943","141","0","18702","1550","963","9895","6294","0","0","4","4","70","0","16","3","2","0","4","56","0","4","4","70","0","16","3","2","0","4","56",,,,,,,,,,,,"8","7568","7568","0","1347","1347","0","6221","6221","0","21","51","29","0","11","20","69","11","20","69",,,,,,,,,,,,"28","R","20,000 and above","California","Four or more years","Public","Degree-granting","City: Large","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above"
"109907","Barstow Community College","2019","1,000 - 4,999","3078","1250","1828","1864","3078","593","489","1719","277","0","1250","316","153","769","12","0","1828","277","336","950","265","0","1","3","15","44","1","24","7","5","0","4","65","1","3","15","44","1","24","7","5","0","4","65",,,,,,,,,,,,"10","1478","1478","0","518","518","0","960","960","0","5","46","48","1","49","32","19","49","32","19",,,,"566","95","22","4","5","1","0","0","24","R","1,000 - 4,999","California","At least 2 but less than 4 years","Public","Degree-granting","Town: Distant","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"110246","Butte College","2019","10,000 - 19,999","10100","4816","5284","6590","10100","1767","875","6607","851","0","4816","1304","397","3044","71","0","5284","463","478","3563","780","0","1","6","2","30","0","50","6","3","1","6","55","1","6","2","30","0","50","6","3","1","6","55",,,,,,,,,,,,"13","3033","3033","0","1077","1077","0","1956","1956","0","6","64","30","0","10","23","66","10","23","66",,,,"1671","95","0","0","52","3","44","2","20","R","10,000 - 19,999","California","At least 2 but less than 4 years","Public","Degree-granting","Rural: Distant","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"110334","Cabrillo College","2019","10,000 - 19,999","11033","3721","7312","6176","11033","1515","750","7535","1233","0","3721","969","197","2474","81","0","7312","546","553","5061","1152","0","0","3","1","47","0","41","5","2","1","3","54","0","3","1","47","0","41","5","2","1","3","54",,,,,,,,,,,,"9","3770","3770","0","588","588","0","3182","3182","0","6","56","34","3","10","37","53","10","37","53",,,,"1443","95","0","0","33","2","39","3","22","R","10,000 - 19,999","California","At least 2 but less than 4 years","Public","Degree-granting","Suburb: Midsize","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"111434","Canada College","2019","5,000 - 9,999","5799","1000","4799","2611","5799","814","913","3084","988","0","1000","352","65","561","22","0","4799","462","848","2523","966","0","0","13","3","44","1","21","4","9","5","15","60","0","13","3","44","1","21","4","9","5","15","60",,,,,,,,,,,,"6","2401","2401","0","174","174","0","2227","2227","0","6","52","41","1","22","15","63","22","15","63",,,,"669","82","1","0","144","18","0","0","24","R","5,000 - 9,999","California","At least 2 but less than 4 years","Public","Degree-granting","Suburb: Large","Title IV postsecondary institution","Degree-granting, associate's and certificates"
"111461","College of the Canyons","2019","10,000 - 19,999","19089","6040","13049","10421","19089","2510","1271","13121","2187","0","6040","1521","442","4024","53","0","13049","989","829","9097","2134","0","0","11","5","49","0","28","2","3","1","11","48","0","11","5","49","0","28","2","3","1","11","48",,,,,,,,,,,,"8","6487","6487","0","776","776","0","5711","5711","0","10","56","34","0","12","28","59","12","28","59",,,,"2395","95","0","0","51","2","64","3","25","R","10,000 - 19,999","California","At least 2 but less than 4 years","Public","Degree-granting","Suburb: Large","Title IV postsecondary institution","Degree-granting, associate's and certificates"
